datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.8,-13.256,-41.268,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.495,-41.411,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.181,-41.341,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0,1,-12.674,-41.455,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/06 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,1.6,0.6,-13.259,-41.28,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,7,0,1,-13.241,-41.216,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/20 15:56:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,3,0.1,1,-12.668,-41.456,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.493,-41.441,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/27 16:32:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,9,0,1,-12.557,-41.449,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/10 17:09:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,4,0,1,-12.597,-41.475,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,13,0,1,-12.453,-41.479,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.176,-41.313,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,13,0,1,-12.49,-41.512,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:32:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.651,-41.472,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.46,-41.447,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.7,-13.255,-41.259,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/13 16:02:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,7,0,0.9,-12.609,-41.435,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/14 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,8,0,0.7,-12.599,-41.422,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,13,0,1,-12.464,-41.424,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,12,0,1,-12.48,-41.45,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/07 16:38:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,1,0,0.6,-13.246,-41.252,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,14,0,1,-12.511,-41.515,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,5,0,0.6,-12.542,-41.409,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/25 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,20,0,1,-12.42,-41.371,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.502,-41.459,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.171,-41.282,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.5,1,-13.077,-41.309,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/15 16:08:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,22,0,1,-12.711,-41.506,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.183,-41.272,,PARNA DA CHAPADA DA DIAMANTINA
